Title,value
1987,0.0
1988,0.0
1989,0.0
1990,0.0
1991,0.0
1992,0.0
1993,0.0
1994,0.0
1995,0.0
1996,0.0
1997,0.0
1998,4.0
1999,12.0
2000,41.0
2001,66.0
2002,79.0
2003,74.0
2004,188880.0
2005,243889.0
2006,256164.0
2007,467536.0
2008,1895568.0
2009,1159581.0
2010,2164892.0
2011,2738687.0
2012,2327333.0
2013,2196313.0
2014,2467381.0
2015,1764915.0
2016,2168520.0
2017,1686395.0
2018,1447469.0
2019,1643481.0
2020,2117495.0
2021,1709228.0
2022,2825031.0
2023,2260237.0
2024,2192673.0
1987 Q1,0.0
1987 Q2,0.0
1987 Q3,0.0
1987 Q4,0.0
1988 Q1,0.0
1988 Q2,0.0
1988 Q3,0.0
1988 Q4,0.0
1989 Q1,0.0
1989 Q2,0.0
1989 Q3,0.0
1989 Q4,0.0
1990 Q1,0.0
1990 Q2,0.0
1990 Q3,0.0
1990 Q4,0.0
1991 Q1,0.0
1991 Q2,0.0
1991 Q3,0.0
1991 Q4,0.0
1992 Q1,0.0
1992 Q2,0.0
1992 Q3,0.0
1992 Q4,0.0
1993 Q1,0.0
1993 Q2,0.0
1993 Q3,0.0
1993 Q4,0.0
1994 Q1,0.0
1994 Q2,0.0
1994 Q3,0.0
1994 Q4,0.0
1995 Q1,0.0
1995 Q2,0.0
1995 Q3,0.0
1995 Q4,0.0
1996 Q1,0.0
1996 Q2,0.0
1996 Q3,0.0
1996 Q4,0.0
1997 Q1,0.0
1997 Q2,0.0
1997 Q3,0.0
1997 Q4,0.0
1998 Q1,1.0
1998 Q2,2.0
1998 Q3,3.0
1998 Q4,4.0
1999 Q1,6.0
1999 Q2,8.0
1999 Q3,10.0
1999 Q4,12.0
2000 Q1,19.0
2000 Q2,26.0
2000 Q3,33.0
2000 Q4,41.0
2001 Q1,48.0
2001 Q2,54.0
2001 Q3,60.0
2001 Q4,66.0
2002 Q1,70.0
2002 Q2,73.0
2002 Q3,76.0
2002 Q4,79.0
2003 Q1,78.0
2003 Q2,77.0
2003 Q3,76.0
2003 Q4,74.0
2004 Q1,139911.0
2004 Q2,125231.0
2004 Q3,156248.0
2004 Q4,188880.0
2005 Q1,196286.0
2005 Q2,242842.0
2005 Q3,235091.0
2005 Q4,243889.0
2006 Q1,261132.0
2006 Q2,248662.0
2006 Q3,261308.0
2006 Q4,256164.0
2007 Q1,281632.0
2007 Q2,368892.0
2007 Q3,369929.0
2007 Q4,467536.0
2008 Q1,677291.0
2008 Q2,649134.0
2008 Q3,693660.0
2008 Q4,1895568.0
2009 Q1,2009389.0
2009 Q2,1301372.0
2009 Q3,1272832.0
2009 Q4,1159581.0
2010 Q1,1918536.0
2010 Q2,2305042.0
2010 Q3,2984307.0
2010 Q4,2164892.0
2011 Q1,1948195.0
2011 Q2,1974074.0
2011 Q3,2851991.0
2011 Q4,2738687.0
2012 Q1,2345703.0
2012 Q2,2616600.0
2012 Q3,2510306.0
2012 Q4,2327333.0
2013 Q1,2345333.0
2013 Q2,2373787.0
2013 Q3,2309023.0
2013 Q4,2196313.0
2014 Q1,1888321.0
2014 Q2,1904123.0
2014 Q3,2133861.0
2014 Q4,2467381.0
2015 Q1,2540291.0
2015 Q2,1814459.0
2015 Q3,2057938.0
2015 Q4,1764915.0
2016 Q1,2246951.0
2016 Q2,2524195.0
2016 Q3,2414075.0
2016 Q4,2168520.0
2017 Q1,1877491.0
2017 Q2,1794937.0
2017 Q3,1732023.0
2017 Q4,1686395.0
2018 Q1,1589022.0
2018 Q2,1593198.0
2018 Q3,1452277.0
2018 Q4,1447469.0
2019 Q1,1524770.0
2019 Q2,1669854.0
2019 Q3,1998045.0
2019 Q4,1643481.0
2020 Q1,2433401.0
2020 Q2,2260691.0
2020 Q3,2143993.0
2020 Q4,2117495.0
2021 Q1,1838294.0
2021 Q2,1721672.0
2021 Q3,1747565.0
2021 Q4,1709228.0
2022 Q1,2022352.0
2022 Q2,2412482.0
2022 Q3,3233690.0
2022 Q4,2825031.0
2023 Q1,2547022.0
2023 Q2,2715250.0
2023 Q3,2649364.0
2023 Q4,2260237.0
2024 Q1,2218431.0
2024 Q2,2169987.0
2024 Q3,2215392.0
2024 Q4,2192673.0
2025 Q1,2081694.0
2025 Q2,2053298.0
2025 Q3,2009467.0
